,title,abstract,authors,affiliation,subject,paper_type
38,Sound Design and Reproduction Techniques for Co-Located Narrative VR Experiences,"Immersive co-located theatre aims to bring the social aspects of traditional cinematic and theatrical experience into Virtual Reality (VR). Within these VR environments, participants can see and hear each other, while their virtual seating location corresponds to their actual position in the physical space. These elements create a realistic sense of presence and communication, which enables an audience to create a cognitive impression of a shared virtual space. This article presents a theoretical framework behind the design principles, challenges and factors involved in the sound production of co-located VR cinematic productions, followed by a case-study discussion examining the implementation of an example system for a 6-minute cinematic experience for 30 simultaneous users. A hybrid reproduction system is proposed for the delivery of an effective sound design for shared cinematic VR. Winner of the 147th AES Convention Best Peer-Reviewed Paper Award","['Gospodarek, Marta', 'Genovese, Andrea', 'Dembeck, Dennis', 'Brenner, Corinne', 'Roginska, Agnieszka', 'Perlin, Ken']","['New York University, New York, NY, USA', 'Flavorlab']",Spatial Audio,Poster
39,Field Report: Immersive Recording of a Wind Ensemble Using Height Channels and Delay Compensation for a Realistic Playback Experience,"Practical examples for orchestra recording in stereo or surround were relatively easy to obtain. Whereas, it was found that recording practice in immersive audio is relatively limited. This paper is intended to share the experience of the immersive recording process for a wind orchestra recording at McGill University. There were concerns that needed to be considered before planning the concert recording, problems encountered during the planning, and lastly the solutions to these issues. In conclusion, the discussions about the final result and the approach will be described.","['Yang, Hyunjoung', 'Dobson, Alexander', 'King, Richard']","['McGill University, Montréal, QC, Canada', 'The Centre for Interdisciplinary Research in Music Media and Technology, Montreal, Quebec, Canada']",Spatial Audio,Poster
40,Deep Neural Network Based Guided Speech Bandwidth Extension,"Up to today telephone speech is still limited to the range of 200 to 3400 Hz since the predominant codecs in public switched telephone networks are AMR-NB, G.711, and G.722 [1, 2, 3]. Blind bandwidth extension (blind BWE, BBWE) can improve the perceived quality as well as the intelligibility of coded speech without changing the transmission network or the speech codec. The BBWE used in this work is based on deep neural networks (DNNs) and has already shown good performance [4]. Although this BBWE enhances the speech without producing too many artifacts it sometimes fails to enhance prominent fricatives that can result in muffled speech. In order to better synthesize prominent fricatives the BBWE is extended by sending a single bit of side information—here referred to as guided BWE. This bit may be transmitted, e.g., by watermarking so that no changes to the transmission network or the speech codec have to be done. Different DNN con?gurations (including convolutional (Conv.) layers as well as long short-term memory layers (LSTM)) making use of this bit have been evaluated. The BBWE has a low computational complexity and an algorithmic delay of 12 ms only and can be applied in state-of-the-art speech and audio codecs.","['Schmidt, Konstantin', 'Edler, Bernd']","['Friedrich Alexander University, Erlangen-Nürnberg, Germany', 'Fraunhofer IIS, Erlangen, Germany']",Audio Signal Processing,Poster
41,Physical Controllers vs. Hand-and-Gesture Tracking: Control Scheme Evaluation for VR Audio Mixing,"This paper investigates potential differences in performance for both physical and hand-and-gesture control within a Virtual Reality (VR) audio mixing environment. The test was designed to draw upon prior evaluations of control schemes for audio mixing while presenting sound sources to the user for both controller schemes within VR. A VR audio mixing interface was developed in order to facilitate a subjective evaluation of two control schemes. Response data was analyzed with t- and ANOVA tests. Physical controllers were generally rated higher than the hand-and-gesture controls in terms of perceived accuracy, efficiency, and satisfaction. No significant difference in task completion time for either control scheme was found. The test participants largely preferred the physical controllers over the hand-and-gesture control scheme. There were no significant differences in the ability to make adjustments in general when comparing groups of more experienced and less experienced audio engineers.","['Bennington, Justin', 'Ko, Doyuen']","['Belmont University, Nashville, TN, USA']","Spatial Audio, Part 2",Talk
42,The Application of Graphene Oxide-Based Loudspeaker Membranes in 40mm Headphone Drivers,"Graphene oxide-based materials have shown promise in loudspeaker membrane applications. The material allows the forming of highly stiff, low mass cones and domes for loudspeakers. The technology allows improvements in efficiency and linearity over other common loudspeaker membrane materials. This class of graphene material can be engineered to produce an excellent ratio of stiffness (Young’s modulus) to density (g/cm3) and damping (tan ? ). In a case study, acoustically optimized graphene materials were formed into membranes for headphone drivers. The performance of headphone drivers made with these membranes was analyzed and compared to standard polymer membrane headphone drivers. Relative to the polymer membrane drivers, the graphene membranes provide a significant reduction in both intermodulation and harmonic distortion while matching the sensitivity and producing a substantially smoother frequency response.","['Cardenas, William', 'Gaskell, Robert-Eric']","['ORA Graphine Audio Inc., Montreal, Quebec, Canada', 'McGill University, Montreal, QC, Canada']",Transducers,Talk
43,Impact of Statistical Parameters of Late Reverberation on the Instantaneous Frequencies of Reverberant Audio,"This paper addresses the impact of late reverberation on the instantaneous frequency tracks of reverberant audio. While existing models of early reflections and low frequency room modes enable prediction of instantaneous frequency tracks of a filtered signal, the effects of late reverberation are best modeled statistically. After reviewing the parameterization of late reverberation, the effects of frequency dependent decay time and direct to reverberant ratio on instantaneous frequency are investigated using synthetic impulse responses derived from velvet noise. These effects are quantified using the autocorrelation function of the reverberant instantaneous frequency tracks. Finally, the instantaneous frequency deviations that occur when an anechoic sound is filtered with a recorded impulse response are compared to those resulting from synthesized late reverberation.","['Smith, Sarah R.', 'Bocko, Mark F.']","['University of Rochester, Rochester, NY, USA']",Semantic Audio,Talk
44,Calculation of Directivity Patterns from Spherical Microphone Array Recordings,"Taking into account the direction-dependent radiation of natural sound sources (such as musical instruments) can help to enhance auralization processing and thus improves the plausibility of simulated acoustical environments as, e.g., found in virtual reality (VR) systems. In order to quantify this direction-dependent behavior, usually so-called directivity patterns are used. This paper investigates two different methods that can be used to calculate directivity patterns from spherical microphone array recordings. A comparison between both calculation methods is performed based on the resulting directivity patterns. Furthermore, the directivity patterns of several musical instruments are analyzed and important measures are extracted. For all calculations, the publicly available anechoic microphone array measurements database recorded at the Technical University Berlin (TU Berlin) was used.","['Anemüller, Carlotta', 'Herre, Jürgen']","['International Audio Laboratories Erlangen, Erlangen, Germany', 'Fraunhofer IIS, Erlangen, Germany']",Room Acoustics,Poster
45,The 3DCC Microphone Technique: A Native B-format Approach to Recording Musical Performance,"In this paper we propose a “native” B-format recording technique that uses dual-capsule microphone technology. The three dual coincident capsule (3DCC) microphone array is a compact sound?eld capturing system. 3DCC’s advantage is that it requires minimal matrix processing during post-production to create either a B-format signal or a multi-pattern, discrete six-channel output with high stereo compatibility. Given its versatility, the system is also capable of producing a number of different primary and secondary signals that are either natively available or derived in post-production. A case study of the system’s matrixing technique has resulted in robust immersive imaging in a multichannel listening environment, leading to the possibility of future development of the system as a single six-channel soundfield microphone.","['Zhang, Kathleen ""Ying-Ying""', 'Geluso, Paul']","['New York University, New York, NY, USA']","Spatial Audio, Part 3",Talk
46,Nonlinear Control of Loudspeaker Based on Output Flatness and Trajectory Planning,"A loudspeaker is inherently nonlinear and produces timbre alterations, roughness, harshness, lack of clarity, and modulation noise. This may impair reproduction quality and speech intelligibility. These issues increase rapidly with high levels and especially high bass levels. Industrial design and marketing constraints demand smaller speaker systems without sacrificing sound output level. This results in higher distortion. To obtain ""big bass from little boxes,"" an anti-distortion system is needed. We present a new approach that is based on the direct control and linearization of the loudspeaker diaphragm displacement that allows the maximization of the bass output and the minimization of the nonlinearities while keeping the diaphragm displacement within the range of safe operation.","['Brunet, Pascal', 'Kubota, Glenn S.']","['Samsung Research America, Valencia, CA USA']",Transducers,Talk
47,Tetra-Speaker: Continual Evaluation of the Immersive Experience of a Single-Point Reproduction System,"In the first phase of experimentation, a tetra-speaker had been built as an efficient and compact system for the reproduction of individual sound sources. The reproduction process was based on the relationship of a single sound source, such as an instrument, and an acoustic space. This relationship focused on the radiating behavior of the source. In this paper the tetra-speaker is further evaluated in a case-like study on the immersive experience of the system with additional discussion of how the system may expand its usage to improve this experience within virtual environments. Professionals within the audio field were asked to give an expert’s opinion based on defined attributes of spatial impression and realism.","['Songmuang, Parichat']","['New York University, New York, NY, USA']",Spatial Audio,Talk
48,Profiling Audio Compressors with Deep Neural Networks,"We present a data-driven approach for predicting the behavior of (i.e., profiling) a given parameterized, non-linear time-dependent audio signal processing effect. Our objective is to learn a mapping function that maps the unprocessed audio to the processed, using time-domain samples. We employ a deep auto-encoder model that is conditioned on both time-domain samples and the control parameters of the target audio effect. As a test-case, we focus on the offline profiling of two dynamic range compressors, one software-based and the other analog. Our results show that the primary characteristics of the compressors can be captured, however there is still sufficient audible noise to merit further investigation before such methods are applied to real-world audio processing workflows.","['Hawley, Scott', 'Colburn, Benjamin', 'Mimilakis, Stylianos Ioannis']","['Belmont University, Nashville, TN, USA', 'ARiA Acoustics, Washington, DC, USA', 'Fraunhofer Institute for Digital Media Technology (IDMT), Ilmenau, Germany']",Audio Signal Processing,Talk
49,Modelling of a Chip Scale Package on the Acoustic Behavior of a MEMS Microphone,"Micro-electro-mechanical system (MEMS) microphones have been widely used in the mobile devices in recent decades. The acoustic effects of a chip scale package on a MEMS microphone needs to be validated. Previously a lumped equivalent circuit model was adopted to analyze the acoustic frequency response of the package. However, such a theoretical model cannot predict performance at relatively high frequencies. In this paper a distributed parameter model was proposed to simulate the acoustic behavior of the MEMS microphone package. The model illustrates how the MEMS microphone acoustic transfer function is affected by the size of sound hole, the volumes of the front and back chamber. This model also can illustrate the mechanical response of the MEMS microphone. The proposed model provided a more reliable way towards an optimized MEMS package structure.","['Nie, Yafei', 'Sang, Jinqiu', 'Zheng, Chengshi', 'Li, Xiaodong']","['Institute of Acoustics, Chinese Academy of Sciences, Beijing, China', 'Chinese Academy of Sciences, Beijing, China']",Transducers,Poster
50,Use of the Magnitude Estimation Technique in Reference-Free Assessments of Spatial Audio Technology,"Magnitude estimation is a technique developed in psychophysics research in which participants numerically estimate the relative strengths of a sequence of stimuli along a relevant dimension. Traditionally, the method has been used to measure basic perceptual phenomena in different sensory modalities (e.g., ""brightness,"" ""loudness""). We present two examples of using magnitude estimation in the domain of audio rendering for different categories of consumer electronics devices. Importantly, magnitude estimation doesn’t require a reference stimulus and can be used to assess general (""audio quality"") and domain-specific (e.g., ""spaciousness"") attributes. Additionally, we show how this data can be used together with objective measurements of the tested systems in a model that can predict performance of systems not included in the original assessment.","['Brandmeyer, Alex', 'Darcy, Dan', 'Lu, Lie', 'Graff, Richard', 'Swedlow, Nathan', 'Crum, Poppy']","['Dolby Laboratories, San Francisco, CA, USA']","Spatial Audio, Part 1",Talk
51,An Adaptive Crosstalk Cancellation System Using Microphones at the Ears,"For the reproduction of binaural signals via loudspeakers, crosstalk cancellation systems are necessary. To compute the crosstalk cancellation filters, the transfer functions between loudspeakers and ears must be given. If the listener moves the filters are usually updated based on a model or previously measured transfer functions. We propose a novel architecture: It is suggested to place microphones close to the listener’s ears to continuously estimate the true transfer functions and use those to adapt the crosstalk cancellation filters. A fast frequency-domain state-space approach is employed for multichannel system tracking. For simulations of slow listener rotations it is demonstrated by objective and subjective means that the proposed system successfully attenuates crosstalk of the direct sound components.","['Kabzinski, Tobias', 'Jax, Peter']","['RWTH Aachen University, Aachen, Germany']",Spatial Audio,Poster
52,A Compact Loudspeaker Matrix System to Create 3D Sounds for Personal Uses,"In this paper we propose a new 3D sound system in two-layers as a matrix that has five loudspeakers on each side of the listener. The system is effective for sound localization and compact for personal use. Sound images in this system are created by extended amplitude panning method, with the effect of head-related transfer functions (HRTFs). Performance evaluation of the system for sound localization was made by auditory experiments with listeners. As the result, listeners could distinguish sound image direction localized at any azimuth direction and high elevation direction with small biases.","['Saito, Aya', 'Nemoto, Takahiro', 'Saji, Akira', 'Huang, Jie']","['University of Aizu, Aizuwakamatsu City, Japan']",Spatial Audio,Poster
53,An Open-Access Database of 3D Microphone Array Recordings,"This engineering brief presents open-access 3D sound recordings of musical performances and room impulse responses made using various 3D microphone arrays simultaneously. The microphone arrays comprised OCT-3D, 2L-Cube, PCMA-3D, Decca Tree with height, Hamasaki Square with height, First-order and Higher-order Ambisonics microphone systems, providing more than 250 different front-rear-height combinations. The sound sources recorded were string quartet, piano trio, piano solo, organ, clarinet solo, vocal group, and room impulse responses of a virtual ensemble with 13 source positions captured by all of the microphones. The recordings can be freely downloaded from www.hud.ac.uk/apl/resources. Future studies will use the recordings to formally elicit perceived attributes for 3D recording quality evaluation as well as for spatial audio ear training.","['Lee, Hyunkook', 'Johnson, Dale']","['University of Huddersfield, Huddersfield, UK']",Recording and Production,Poster
54,Filling The Space: The Impact of Convolution Reverberation Time on Note Duration and Velocity in Duet Performance,"The impact of reverberation on musical expressivity is an area of growing interest as technology to simulate, and create, acoustic environments improves. Being able to characterize the impact of acoustic environments on musical performance is a problem of interest to acousticians, designers of virtual environments, and algorithmic composers. We analyze the impact of convolution reverberation time on note duration and note velocity, which serve as markers of musical expressivity. To improve note clarity in situations of long reverberation times, we posit musicians performing in a duo would lengthen the separation between notes (note duration) and increase loudness (note velocity) contrast. The data for this study comprises of MIDI messages extracted from performances by 2 co-located pianists playing the same piece of music 100 times across 5 different reverberation conditions. To our knowledge, this is the largest data set to date looking at piano duo performance in a range of reverberation conditions. In contrast to prior work the analysis considers both the entire performance as well as an excerpt at the opening part of the piece featuring a key structural element of the score. This analysis ?nds convolution reverberation time is found to be moderately positively correlated with mean note duration (r = 0.34 and p =< 0.001), but no significant correlation was found between convolution reverberation time and mean note velocity (r = -0.19 and p = 0.058).","['Weaver, James', 'Barthet, Mathieu', 'Chew, Elaine']","['Queen Mary University London, London, UK', 'CNRS-UMR9912/STMS (IRCAM), Paris, France']","Recording, Production, and Live Sound",Talk
55,A Perceptually-Motivated Headphone Transparency Algorithm,"Many modern closed-back wireless headphones now support a user-selectable “hear-through” or “transparency” feature to allow the wearer to monitor their environment. These products typically work by passively mixing the signals from external microphones with the primary media being reproduced by the headphone’s internal speakers. When there is no media playing back, that approach works reasonably well. However, once media is playing, it tends to mask the passthrough of the external audio and the wearer can no longer hear the outside world. Here we describe a perceptually motivated algorithm for improving audibility of the external microphone signals without compromising the media playback experience. Subjective test results of this algorithm as implemented in a consumer headphone product are presented.","['Lando, Josh', 'Brandmeyer, Alex', 'Brown, Phil', 'Seefeldt, Alan', 'Jaspar, Andy']","['Dolby Laboratories, San Francisco, CA, USA']",Product Development,Talk
56,A Case Study on a Dynamic Driver: How Electromagnet Can Improve the Performance of a Micro Speaker,"How can designers improve the sound quality of next-generation audio products when the market is demanding smaller devices? Bigger sound requires bigger speakers, right? Not necessarily. One approach is to re-evaluate the materials you are using. Alloy materials used within speakers to conduct sound has not changed drastically in the last 10-15 years. However, developments in the performance of electromagnet alloys can replace standard electrical iron/low carbon steel and provide higher efficiency and performance. The result is better sound quality, smaller devices, and extended battery life. We studied the performance of the transducer with different electromagnets in magnet assembly and reported the comparison to provide better insight for the next-gen audio dynamic drives.","['Mehedi, Md']","['Carpenter Technology Corporation, Philadelphia, PA, USA']",Transducers,Talk
57,Analysis of the Sound Emitted by Honey Bees in a Beehive,"The increasing in honey bee mortality of the last years has brought great attention on the possibility of intensive bee hive monitoring in order to better understand the problems that are seriously affecting the honey bee health. It is well known that sound emitted inside a beehive is one of the key parameters for a non-invasive monitoring capable of determining some aspects of their condition. The proposed work aims at analyzing the bees’ sound introducing features extraction useful for sound classification techniques and to determine dangerous situations. Taking into consideration a real scenario, several experiments have been performed focusing on particular events, such as swarming, to highlight the potentiality of the proposed approach.","['Cecchi, Stefania', 'Terenzi, Alessandro', 'Orcioni, Simone', 'Piazza, Francesco']","['Universitá Politecnica della Marche, Ancona, Italy']",Audio Signal Processing,Poster
58,Measurement of Oral-Binaural Room Impulse Response by Singing Scales,"Oral-binaural room impulse responses (OBRIRs) are the transfer functions from mouth to ears measured in a room. Modulated by many factors, OBRIRs contain information for the study of stage acoustics from the performer’s perspective and can be used for auralization. Measuring OBRIRs on a human is, however, a cumbersome and time-consuming process. In the current study some issues of the OBRIR measurement on humans were addressed in a series of measurements. With in-ear and mouth microphones volunteers sang scales, and a simple post-processing scheme was used to re?ne the transfer functions. The results suggest that OBRIRs may be measured consistently by using the proposed protocol, where only 4~8 diatonic scales need to be sung depending on the target signal-to-noise ratio.","['Park, Munhum']","['King Mongkut’s Institute of Technology Ladkrabang, Bangkok, Thailand']","Spatial Audio, Part 3",Talk
59,Loudspeaker Port Design for Optimal Performance and Listening Experience,"Bass reflex ports produce noise at high sound-pressure levels due to turbulence and vortex shedding. Flared ports can reduce port noise compared to straight ports, but the optimal flare rate in ports has remained an unsolved problem. This work demonstrates that there is in fact an optimal amount of flare, and it proposes a design method based on acoustic Finite Element simulations to efficiently predict the optimal flare rate for given port dimensions. Optimality of the flare rate is confirmed with noise and compression measurements as well as double-blind listening tests. At onset of unwanted port noise, optimally flared ports can be played 1 to 3 dB louder than slightly under-flared or over-flared ports, and 10 to 16 dB louder than straight ports.","['Bezzola, Andri', 'Devantier, Allan', 'McMullin, Elisabeth']","['Samsung Research America, Valencia, CA USA']",Product Development,Talk
60,Rethinking Flat Panel Loudspeakers—An Objective Acoustic Comparison of Different Speaker Categories,"The home entertainment market is growing, but connected devices like multi-room and streaming loudspeakers are increasingly replacing traditional audio systems. Compromises in the acoustic quality are made to satisfy additional requirements such as smaller, lighter, and cheaper products. The number of smart speakers sold suggests that the customers accept speakers with lower acoustical quality for their daily use. Concepts like soundbars aim to achieve better spatial reproduction but try to stay visually unobtrusive. Thanks to the low visual profile flat panel loudspeakers give opportunities for invisible integration. This paper presents an objective acoustic comparison of four speaker categories: smart speaker, flat panel, soundbar, and studio monitor. The comparison reveals that recent technological advances could make flat panel loudspeakers an alternative.","['Zenker, Benjamin', 'Merchel, Sebastian', 'Altinsoy, M. Ercan']","['Technical University Dresden, Dresden, Germany']",Transducers,Talk
61,A Comparison of Test Methodologies to Personalize Headphone Sound Quality,"There exist many different methods to gather subjective equalization preference data from listeners. From one method to another there are generally tradeoffs between speed, accuracy, and ease of use. In this study four different types of test were compared to see which tests performed the best in each of these categories. The purpose was to select the best methods for headphone personalization applications for mobile devices. All four tests involve test subjects setting filter gain values for bass and treble shelving filters, and thus selecting their preferred response curves for listening to music through headphones. The results of each test, the time taken to complete them, and the ease of use based on a post-test questionnaire are presented.","['Welti, Todd', 'Khonsaripour, Omid', 'Olive, Sean', 'Pye, Dan']","['Harman International Inc., Northridge, CA, USA']",Transducers,Talk
62,Predicting Objective Difficulty in Peak Identification Task of Technical Ear Training,"Technical ear training is a method to improve the ability to focus on a speci?c sound attribute and to communicate using the vocabularies and units shared in Audio Engineering. In designing the successful course in a sound engineers’ educational institution, it is essential to have a gradual increase in the task dif?culty. In this e-Brief, the authors investigated creating a predictive model of objective dif?culty for a given music excerpt when it is used in a peak identi?cation task of technical ear training. The models consisting of six or seven acoustic features, including statistics on attack transients and power spectrum, showed overall better results.","['Marui, Atsushi', 'Kamekawa, Toru']","['Tokyo University of the Arts, Adachi-ku, Tokyo, Japan']",Recording and Production,Talk
63,Alignment and Timeline Construction for Incomplete Analogue Audience Recordings of Historical Live Music Concerts,"Analogue recordings pose specific problems during automatic alignment, such as distortion due to physical degradation, or differences in tape speed during recording, copying, and digitization. Oftentimes, recordings are incomplete, exhibiting gaps with different lengths. In this paper we propose a method to align multiple digitized analogue recordings of same concerts of varying quality and song segmentations. The process includes the automatic construction of a reference concert timeline. We evaluate alignment methods on a synthetic dataset and apply our algorithm to real-world data.","['Wilmering, Thomas', 'Thalmann, Florian', 'Sandler, Mark']","['Centre for Digital Music (C4DM), Queen Mary University of London, London, UK']",Applications in Audio,Poster
64,Casualty Accessible and Enhanced (A&E) Audio: Trialling Object-Based Accessible TV Audio,"Casualty Accessible and Enhanced (A&E) Audio is the first public trial of accessible audio technology using a narrative importance approach. This trial allows viewers to personalize the audio of an episode of the BBC’s ""Casualty"" drama series based on their hearing needs. Using a simple interface the audio can be varied between the broadcast mix and an accessible mix containing narratively important non-speech sounds, enhanced dialogue, and attenuated background sounds. This paper describes the trial’s development, implementation, and it’s evaluation by normal and hard of hearing listeners (n=5209 on 20/8/2019). 299 participants also completed a survey, rating the technology 3.6/5 stars. 73% reported the technology made the content more enjoyable or easier to understand.","['Ward, Lauren', 'Paradis, Matthew', 'Shirley, Ben', 'Russon, Laura', 'Moore, Robin', 'Davies, Rhys']","['University of Salford, Salford, UK', 'BBC R&D, Salford, UK', 'BBC Research and Development, London, UK', 'BBC Studios, Cardiff, Wales, UK']",Applications in Audio,Talk
65,Exploratory Research into the Suitability of Various 3D Input Devices for an Immersive Mixing Task,"This study evaluates the suitability of one 2D (mouse and fader) and three 3D (Leap Motion, Space Mouse, Novint Falcon) input devices for an immersive mixing task. A test, in which subjects were asked to pan a monophonic sound object (probe) to the location of a pink noise burst (target), was conducted in a custom 3D loudspeaker array. The objectives were to determine how quickly the subjects were able to perform the task using each input device, which of the four was most appropriate for the task, and which was most preferred overall. Results show significant differences in response time between 2D and 3D input devices. Furthermore, it was found that localization blur had a significant influence over the subject’s response time, as well as “corner” locations.","['Quiroz Orozco, Diego I', 'Martin, Denis']","['McGill University, Montreal, QC, Canada', 'CIRMMT, Montreal, QC, Canada']","Spatial Audio, Part 3",Talk
66,A Qualitative Investigation of Soundbar Theory,"This study investigated basic acoustic principals and assumptions that form the foundation of soundbar technology. A qualitative listening test compared 12 original soundscape scenes each comprising five stationary and two moving auditory elements. Subjects listened to a 5.1 reference scene and were asked to rate “spectral clarity and richness of sound,” “width and height,” and “immersion and envelopment” of stereophonic, soundbar, and 5.1 versions of each scene. ANOVA revealed a significant effect for all three systems. In all three attribute groups, stereophonic was rated lowest, followed by soundbar, then surround. Results suggest waveguide-based “soundbar technology” might provide a more immersive experience than stereo but will not likely be as immersive as true surround reproduction.","['Perla, Julia', 'Bulla, Wesley']","['Belmont University, Nashville, TN, USA']",Spatial Audio,Poster
67,Evaluation on the Perceptual Influence of Floor Level Loudspeakers for Immersive Audio Reproduction,"Listening tests were conducted to evaluate the perceptual influence of adding a lower layer of loudspeakers to a setup that is commonly used for immersive audio reproduction. Three setups using horizontally arranged loudspeakers (1M, 2M, 5M), one with added height loudspeakers (5M+4H), and one with additional ?oor level loudspeakers (5M+4H+3L) were compared. Basic Audio Quality was evaluated in a sweet-spot test with explicit reference, and two preference tests (sweet-spot and off sweet-spot) were performed to evaluate the Overall Audio Quality. The stimuli, e.g., ambient recordings and sound design material, made dedicated use of the lower loudspeaker layer. The results show that reproduction comprising a lower loudspeaker layer is preferred compared to reproduction using the other loudspeaker setups included in the test.","['Grewe, Yannik', 'Walther, Andreas', 'Klapp, Julian']","['Fraunhofer Institute for Integrated Circuits IIS, Erlangen, Germany']","Spatial Audio, Part 1",Talk
68,Extracting the Fundamental Mode from Sound Pressure Measurements in an Acoustic Tube,Acoustic tubes are used to provide a load to loudspeakers or to measure material properties. If the wavelength is comparable to the diameter of the tube cross-modes can be excited. This paper demonstrates a method that allows to extract only the fundamental mode from the measurement of the sound-pressure response. The only requirement is the use of three microphones mounted into the sides of the tube-wall as well as a circular cross-section.,"['Panzer, Joerg']","['R&D Team, Salgen, Germany']",Room Acoustics,Talk
69,An HRTF Based Approach towards Binaural Sound Source Localization,"With the evolution of smart headphones, hearables, and hearing aids there is a need for technologies to improve situational awareness. The device needs to constantly monitor the real world events and cue the listener to stay aware of the outside world. In this paper we develop a technique to identify the exact location of the dominant sound source using the unique spectral and temporal features listener’s head-related transfer functions (HRTFs). Unlike most state-of-the-art beamforming technologies, this method localizes the sound source using just two microphones thereby reducing the cost and complexity of this technology. An experimental framework is setup at the EmbodyVR anechoic chamber, and hearing aid recordings are carried out for several different trajectories, SNRs, and turn-rates. Results indicate that the source localization algorithms perform well for dynamic moving sources for different SNR levels.","['Sunder, Kaushik', 'Wang, Yuxiang']","['Embody VR, Mountain View, CA, USA', 'University of Rochester, Rochester, NY, USA']","Spatial Audio, Part 2",Talk
70,Coherence as an Indicator of Distortion for Wide-Band Audio Signals such as M-Noise and Music,"M-Noise is a new scientifically derived test signal whose crest factor as a function of frequency is modeled after real music. M-Noise should be used with a complementary procedure for determining a loudspeaker’s maximum linear SPL. The M-Noise Procedure contains criteria for the maximum allowable change in coherence as well as frequency response. When the loudspeaker and microphone are positioned as prescribed by the procedure, reductions in coherence are expected to be caused by distortion. Although higher precision methods for measuring distortion exist, coherence has the advantage that it can be calculated for wide-band signals such as M-Noise as well as music. Examples will demonstrate the perceived audio quality associated with different amounts of distortion-induced coherence loss.","['van Veen, Merlijn', 'Schwenke, Roger']","['Meyer Sound Laboratories, Berkeley, CA, USA']",Audio Signal Processing,Talk
71,"The ANU School of Music Post-Production Suites: Design, Technology, Research, and Pedagogy","This engineering brief considers the design, construction, technological capacity, research, and pedagogical remit of two post-production suites built at the ANU School of Music. These suites were constructed simultaneously to the recording studio refurbishment, as detailed in AES e-Brief #397 (2017). This new e-Brief first considers the intention and purpose behind the splitting of a single, large control room into two separate, versatile post-production spaces. Secondly, the e-Brief focuses on design and construction, with consideration given to acoustic treatment, functionality, ergonomic workflow, and aesthetics. The e-Brief also focuses technological capacity and the benefits of built-in limitations. Finally, the post-production suites are considered in the broader context of both the research and pedagogical activities of the School.","['Bennett, Samantha', 'Barnes, Matt']","['Australian National University, Canberra, Australia']",Recording and Production,Poster
72,Modal Representations for Audio Deep Learning,"Deep learning models for both discriminative and generative tasks have a choice of domain representation. For audio, candidates are often raw waveform data, spectral data, transformed spectral data, or perceptual features. For deep learning tasks related to modal synthesizers or processors, we propose new, modal representations for data. We experiment with representations such as an N-hot binary vector of frequencies, or learning a set of modal filterbank coefficients directly. We use these representations discriminatively–classifying cymbal model based on samples–as well as generatively. An intentionally naive application of a basic modal representation to a CVAE designed for MNIST digit images quickly yielded results, which we found surprising given less prior success when using traditional representations like a spectrogram image. We discuss applications for Generative Adversarial Networks, towards creating a modal reverberator generator.","['Skare, Travis', 'Abel, Jonathan S.', 'Smith, III, Julius O.']","['CCRMA, Stanford University, Stanford, CA, USA']",Audio Signal Processing,Poster
73,SALTE Pt. 2: On the Design of the SALTE Audio Rendering Engine for Spatial Audio Listening Tests in VR,The dedicated audio rendering engine for conducting listening experiments using the SALTE (Spatial Audio Listening Test Environment) open-source virtual reality framework is presented. The renderer can be used for controlled playback of Ambisonic scenes (up to 7th order) over headphones and loudspeakers. Binaural-based Ambisonic rendering facilitates the use of custom HRIRs contained within separate WAV ?les or SOFA ?les as well as head tracking. All parameters of the audio rendering software can be controlled in real-time by the SALTE graphical user interface. This allows for perceptual evaluation of Ambisonic scenes and different decoding schemes using custom HRTFs.,"['Rudzki, Tomasz', 'Earnshaw, Chris', 'Murphy, Damian', 'Kearney, Gavin']","['University of York, York, UK']",Spatial Audio,Poster
74,Fast Time Domain Stereo Audio Source Separation Using Fractional Delay Filters,"Our goal is a system for the separation of two speakers during teleconferencing or for hearing aids. To be useful in real time, we want it to work online with as low delay as possible. Proposed approach works in time domain, using attenuation factors and fractional delays between microphone signals to minimize cross-talk, the principle of a fractional delay and sum beamformer. Compared to other approaches this has the advantage that we have lower computational complexity, no system delay and no musical noise like in frequency domain algorithms. We evaluate our approach on convolutive mixtures generated from speech signals taken from the TIMIT data-set using a room impulse response simulator.","['Golokolenko, Oleg', 'Schuller, Gerald']","['TU- Ilmenau, Ilmenau, Germany']",Audio Signal Processing,Talk
75,Defining Immersion: Literature Review and Implications for Research on Immersive Audiovisual Experiences,"The use of the term “immersion” to describe a multitude of varying experiences in the absence of a definitional consensus has obfuscated and diluted the term. This paper presents a non-exhaustive review of previous work on immersion on the basis of which a definition of immersion is proposed: a state of deep mental involvement in which the subject may experience disassociation from the awareness of the physical world due to a shift in their attentional state. This definition is used to contrast and differentiate interchangeably used terms such as presence and envelopment from immersion. Additionally, an overview of prevailing measurement techniques, implications for research on immersive audiovisual experiences, and avenues for future work are discussed briefly.","['Agrawal, Sarvesh', 'Simon, Adèle', 'Bech, Søren', 'Bærentsen, Klaus', 'Forchhammer, Søren']","['Bang & Olufsen a/s, Struer, Denmark', 'Technical University of Denmark', 'Aalborg University, Aalborg, Denmark', 'Aarhus University, Aarhus, Denmark']","Spatial Audio, Part 1",Talk
